polymer_number,monomer_1,monomer_1_mass_mg,monomer_2,monomer_2_mass_mg,monomer_other,base_mass_mg_total,base_reagents,base_volume_ml_total,catalyst_mass_mg_total,catalyst_reagents,catalyst_volume_ml_total,co-catalyst_mass_mg_total,co-catalyst_reagents,co-catalyst_volume_ml_total,initiator_mass_mg_total,initiator_reagents,initiator_volume_ml_total,quenching agent_mass_mg_total,quenching agent_reagents,quenching agent_volume_ml_total,solvent_mass_mg_total,solvent_reagents,solvent_volume_ml_total,solubility,physical_state,biodegradability,solubility_label,biodegradability_label
252,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"4,4′-Isopropylidenedicyclohexanol",2035.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
253,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"2-Butyl-2-ethyl-1,3-propanediol",1356.85,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
254,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,Resorcinol,932.34,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
255,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"2,3-Butanediol",839.46,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
256,"2,2′-Thiodiacetic acid",1271.49,"1,4-Cyclohexanedimethanol",1221.19,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
257,"2,2′-Thiodiacetic acid",1271.49,"4,4′-Isopropylidenedicyclohexanol",2035.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
258,"2,2′-Thiodiacetic acid",1271.49,"2-Butyl-2-ethyl-1,3-propanediol",1356.85,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
259,"2,2′-Thiodiacetic acid",1271.49,Resorcinol,932.34,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
260,Diglycolic acid,2271.15,"2,2-Diethyl-1,3-propanediol",2462.87,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
261,Diglycolic acid,2271.15,Bisphenol A,2066.39,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,yes,1,1
262,Diglycolic acid,2271.15,Resorcinol,1957.91,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
263,Diglycolic acid,2271.15,"2-Methyl-1,3-propanediol",1678.92,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
264,Diglycolic acid,2271.15,"2-Butyl-2-ethyl-1,3-propanediol",2849.38,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
265,Diglycolic acid,2271.15,"2,2,4-Trimethyl-1,3-pentanediol",2600.42,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
266,Diglycolic acid,2271.15,"2,2-Dimethyl-1,3-propanediol",1852.1,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
267,Diglycolic acid,2271.15,"1,4-Cyclohexanedimethanol",2442.37,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
268,Diglycolic acid,2271.15,"4,4′-Isopropylidenedicyclohexanol",4071.47,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
269,Diglycolic acid,2271.15,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",3324.58,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,amorphous,yes,0,1
270,Diglycolic acid,2271.15,Dianhydro-D-glucitol,3866.54,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
271,Terephthaloyl Chloride,1500,ethylene glycol,458.6,,,,,4675.4,pyridine,0,,,,,,,,,,,,,no,solid,no,0,0
272,Terephthaloyl Chloride,1500,"1,4-Butanediol",665.85,,,,,4675.4,pyridine,0,,,,,,,,,,,,,no,solid,no,0,0
273,Terephthaloyl Chloride,1500,"cis-2-Butene-1,4-diol",651,,,,,4675.4,pyridine,0,,,,,,,,,,,,,no,solid,no,0,0
274,Terephthaloyl Chloride,1500,"2-Methyl-1,3-propanediol",665.85,,,,,4675.4,pyridine,0,,,,,,,,,,,,,no,solid,no,0,0
275,Terephthaloyl Chloride,1500,"2-Butyl-2-ethyl-1,3-propanediol",1183.85,,,,,4675.4,pyridine,0,,,,,,,,,,,,,yes,amorphous,no,1,0
276,Terephthaloyl Chloride,1500,"1,4-Cyclohexanedimethanol",1065.49,,,,,4675.4,pyridine,0,,,,,,,,,,,,,no,solid,no,0,0
277,Terephthaloyl Chloride,1500,"4,4′-Isopropylidenedicyclohexanol",1776.18,,,,,4675.4,pyridine,0,,,,,,,,,,,,,no,solid,no,0,0
278,Terephthaloyl Chloride,1500,Bisphenol A,1686.78,,,,,4675.4,pyridine,0,,,,,,,,,,,,,no,solid,no,0,0
279,"1,4-Cyclohexanedicarboxylic acid",1458.21,ethylene glycol,578.18,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
280,"1,4-Cyclohexanedicarboxylic acid",1458.21,"2,2-Dimethyl-1,3-propanediol",899.59,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
281,"1,4-Cyclohexanedicarboxylic acid",1458.21,"2-Methyl-1,3-propanediol",801.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
282,"1,4-Cyclohexanedicarboxylic acid",1458.21,"1,4-Butanediol",801.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
283,"1,4-Cyclohexanedicarboxylic acid",1458.21,"3-methyl-1,5-pentanediol",1020.69,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
284,"1,4-Cyclohexanedicarboxylic acid",1458.21,"1,10-decanediol",1475.82,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
285,"1,4-Cyclohexanedicarboxylic acid",1458.21,"2-Butyl-2-ethyl-1,3-propanediol",1356.85,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
286,"1,4-Cyclohexanedicarboxylic acid",1458.21,"1,4-Cyclohexanediol",1003.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
287,"1,4-Cyclohexanedicarboxylic acid",1458.21,"1,4-Cyclohexanedimethanol",1221.19,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
288,"1,4-Cyclohexanedicarboxylic acid",1458.21,"4,4′-Isopropylidenedicyclohexanol",2035.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
289,"1,4-Cyclohexanedicarboxylic acid",1458.21,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1662.29,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
290,azelaic acid,1593.87,ethylene glycol,630.73,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
291,pimelic acid,1356.34,"3-methyl-1,5-pentanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,fluid,no,0,0
292,azelaic acid,1593.87,"1,3-Propanediol",708.77,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
293,azelaic acid,1593.87,"1,4-Butanediol",801.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
294,azelaic acid,1593.87,"1,5-pentanediol",881.95,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
295,azelaic acid,1593.87,"3-methyl-1,5-pentanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
296,azelaic acid,1593.87,"1,10-decanediol",1475.82,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
297,pimelic acid,1356.34,ethylene glycol,630.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
298,pimelic acid,1356.34,"1,3-Propanediol",708.77,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,yes,1,1
299,pimelic acid,1356.34,"1,4-Butanediol",801.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
300,Succinic acid,1000,ethylene glycol,630.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
301,Succinic Acid,1000,"1,9-nonanediol",1357.02,,,,,2.41,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
302,Succinic acid,1000,"1,10-decanediol",1475.82,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
303,Succinic acid,1000,"1,3-Propanediol",708.77,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
304,Succinic acid,1000,"1,4-Butanediol",801.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
305,Succinic acid,1000,"1,5-pentanediol",881.95,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
306,Succinic acid,1000,"1,6-Hexanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
307,Succinic acid,1000,"2,5-hexanediol(+isomers)",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
308,Succinic acid,1000,"3-methyl-1,5-pentanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
309,Succinic acid,1000,"1,7-heptanediol",1119.49,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
310,Succinic acid,1000,"1,8-octanediol",1238.29,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
311,glutaric acid,1118.72,ethylene glycol,630.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
312,glutaric acid,1118.72,"1,10-decanediol",1475.82,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
313,azelaic acid,1593.87,"1,8-octanediol",1238.29,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
314,glutaric acid,1118.72,"1,3-Propanediol",708.77,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
315,glutaric acid,1118.72,"1,4-Butanediol",801.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
316,glutaric acid,1118.72,"1,5-pentanediol",881.95,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,yes,1,1
317,glutaric acid,1118.72,"1,6-Hexanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
318,glutaric acid,1118.72,"3-methyl-1,5-pentanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,yes,1,1
319,glutaric acid,1118.72,"1,7-heptanediol",1119.49,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
320,glutaric acid,1118.72,"1,8-octanediol",1238.29,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
321,glutaric acid,1118.72,"1,9-nonanediol",1357.02,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
322,Adipic acid,1237.53,ethylene glycol,630.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
323,Adipic acid,1237.53,"1,10-decanediol",1475.82,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
324,azelaic acid,1593.87,"1,9-nonanediol",1357.02,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
325,Adipic acid,1237.53,"1,3-Propanediol",708.77,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
326,Adipic acid,1237.53,"1,4-Butanediol",801.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
327,Adipic acid,1237.53,"1,5-pentanediol",881.95,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,yes,0,1
328,Adipic acid,1237.53,"1,6-Hexanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
329,Adipic acid,1237.53,"3-methyl-1,5-pentanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
330,Adipic acid,1237.53,"1,7-heptanediol",1119.49,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
331,Adipic acid,1237.53,"1,8-octanediol",1238.29,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
332,Adipic acid,1237.53,"1,9-nonanediol",1357.02,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
333,Isophthalic acid,1406.88,ethylene glycol,630.74,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
334,Isophthalic acid,1406.88,"1,10-decanediol",1475.82,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
335,Isophthalic acid,1406.88,"1,2-Propanediol",773.31,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
336,Isophthalic acid,1406.88,"1,3-Propanediol",708.77,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
337,Isophthalic acid,1406.88,"1,4-Butanediol",801.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
338,Isophthalic acid,1406.88,"1,5-pentanediol",881.95,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,yes,1,1
339,Isophthalic acid,1406.88,"1,6-Hexanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,no,solid,no,0,0
340,Isophthalic acid,1406.88,"3-methyl-1,5-pentanediol",1000.68,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,fluid,no,1,0
341,Isophthalic acid,1406.88,"1,7-heptanediol",1119.49,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,amorphous,no,1,0
342,Isophthalic acid,1406.88,"1,8-octanediol",1238.29,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
343,Isophthalic acid,1406.88,"1,9-nonanediol",1357.02,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,yes,crystalline,no,1,0
344,Terephthaloyl Chloride,860,"1,10-decanediol",174.28,,,,,4675.4,pyridine,0,,,,,,,,,,,,,yes,crystalline,no,1,0
345,"1,4-Cyclohexanedicarboxylic acid",1500,"2,2,4-Trimethyl-1,3-pentanediol",1337.62,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
346,Isophthalic acid,2000,"1,2-Propanediol",961.96,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
347,[(Carboxymethyl)(methyl)amino]acetic acid,1000,"2,2,4-Trimethyl-1,3-pentanediol",1154,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
348,"2,6-Naphthalenedicarboxylic Acid",1000,"2,2,4-Trimethyl-1,3-pentanediol",710,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
349,"2,6-Naphthalenedicarboxylic Acid",1000,"1,4-Butanediol",438,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
350,"2,2′-Thiodiacetic acid",1000,"1,5-pentanediol",728,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
351,"1,4-Cyclohexanedicarboxylic acid",1000,"1,5-pentanediol",635,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
352,[(Carboxymethyl)(methyl)amino]acetic acid,1000,"1,5-pentanediol",822,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
353,"2,6-Naphthalenedicarboxylic Acid",1000,"1,5-pentanediol",506,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,yes,0,1
354,"1,4-Cyclohexanedicarboxylic acid",1000,"1,6-Hexanediol",721,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
355,"2,6-Naphthalenedicarboxylic Acid",1000,"1,6-Hexanediol",574,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
356,Isophthalic acid,2000,"2,3-Butanediol",1139.18,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
357,"1,4-Cyclohexanedicarboxylic acid",1000,"1,7-heptanediol",806,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
358,"2,6-Naphthalenedicarboxylic Acid",1000,"1,7-heptanediol",642,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
359,"1,4-Cyclohexanedicarboxylic acid",1000,"1,8-octanediol",849,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
360,[(Carboxymethyl)(methyl)amino]acetic acid,1000,"1,8-octanediol",1099,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
361,"2,6-Naphthalenedicarboxylic Acid",1000,"1,8-octanediol",676,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
362,glutaric acid,1000,"1,4-Cyclohexanedimethanol",1081,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,amorphous,yes,1,1
363,"2,6-Naphthalenedicarboxylic Acid",1000,"1,4-Cyclohexanedimethanol",667,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
364,"2,2′-Thiodiacetic acid",1000,"1,9-nonanediol",1067,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,yes,1,1
365,"1,4-Cyclohexanedicarboxylic acid",1000,"1,9-nonanediol",931,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,no,1,0
366,Isophthalic acid,1000,"1,4-Cyclohexanediol",734.42,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
367,"2,6-Naphthalenedicarboxylic Acid",1000,"1,9-nonanediol",741,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
368,pimelic acid,1000,"1,10-decanediol",1077,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
369,sebacic acid,1000,"2-Methyl-1,3-propanediol",395,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,yes,1,1
370,sebacic acid,1000,"4,4′-Isopropylidenedicyclohexanol, mixture of isomers",1200,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,no,1,0
371,sebacic acid,1000,"2,2,4-Trimethyl-1,3-pentanediol",730,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,no,1,0
372,sebacic acid,1000,"1,4-Butanediol",450,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,yes,1,1
373,sebacic acid,1000,"1,5-pentanediol",520,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
374,pimelic acid,1000,"4,4′-Isopropylidenedicyclohexanol, mixture of isomers",1501,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,amorphous,yes,1,1
375,glutaric acid,1000,"2-Methyl-1,3-propanediol",750.32,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
376,azelaic acid,1000,"4,4′-Isopropylidenedicyclohexanol, mixture of isomers",1290,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,no,1,0
377,pimelic acid,1000,"2,2,4-Trimethyl-1,3-pentanediol",913,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
378,azelaic acid,1000,"2,2,4-Trimethyl-1,3-pentanediol",785,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,no,1,0
379,pimelic acid,1000,"1,6-Hexanediol",730,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,yes,1,1
380,azelaic acid,1000,"1,6-Hexanediol",628,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
381,sebacic acid,1000,"1,6-Hexanediol",584,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
382,sebacic acid,1000,"1,7-heptanediol",654,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
383,pimelic acid,1000,"1,8-octanediol",913,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,yes,1,1
384,pimelic acid,1000,"2-Methyl-1,3-propanediol",618.92,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
385,sebacic acid,1000,"1,8-octanediol",723,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
386,pimelic acid,1000,"1,4-Cyclohexanedimethanol",891,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,amorphous,yes,1,1
387,azelaic acid,1000,"1,4-Cyclohexanedimethanol",766,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
388,sebacic acid,1000,"1,4-Cyclohexanedimethanol",713,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
389,pimelic acid,1000,"1,9-nonanediol",990,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
390,sebacic acid,1000,"1,9-nonanediol",792,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
391,sebacic acid,1000,"1,10-decanediol",862,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,no,1,0
392,pimelic acid,1000,Diethylene Glycol,662.55,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
393,azelaic acid,1000,Diethylene Glycol,563.81,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
