polymer_number,monomer_1,monomer_1_mass_mg,monomer_2,monomer_2_mass_mg,monomer_other,base_mass_mg_total,base_reagents,base_volume_ml_total,catalyst_mass_mg_total,catalyst_reagents,catalyst_volume_ml_total,co-catalyst_mass_mg_total,co-catalyst_reagents,co-catalyst_volume_ml_total,initiator_mass_mg_total,initiator_reagents,initiator_volume_ml_total,quenching agent_mass_mg_total,quenching agent_reagents,quenching agent_volume_ml_total,solvent_mass_mg_total,solvent_reagents,solvent_volume_ml_total,successful
112,Terephthaloyl Chloride,1000,"2,5-dimethyl-3-hexyne-2,5-diol",636.749,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
113,Sebacoyl Chloride,924.976,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,,361.581,pyridine,0,,,,,,,,,,,,,0,DMF; hexanes,15,0
114,Azelaoyl chloride,1000,"2,5-dimethyl-3-hexyne-2,5-diol",574.265,,209.983,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
115,Malonyl Chloride,1000,"2,5-dimethyl-3-hexyne-2,5-diol",917.153,,335.361,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
116,Adipoyl Chloride,1000,"2,5-dimethyl-3-hexyne-2,5-diol",706.293,,258.259,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,0
117,Malonyl Chloride,1000,"1,5-hexadiene-3,5-diol",736.173,,335.361,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
118,Succinyl Chloride,1129.64,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1500,,344.566,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
119,Sebacoyl Chloride,1743.2,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1500,,344.566,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
120,Terephthaloyl Chloride,1479.9,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1500,,344.566,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
121,Isophthaloyl Chloride,986.601,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1000,,229.71,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
122,Adipoyl Chloride,1334.19,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1500,,344.566,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
123,Suberoyl chloride,512.909,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",500,,114.855,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
124,Sebacoyl Chloride,1000,Pinacol,449.337,,197.663,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
125,Sebacoyl Chloride,619.388,"4,4'-Methylenebis(2,6-di-tert-butylphenol)",1000,,242.124,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,0
126,Malonyl Chloride,437.511,"4,4′-Thiodiphenol",1000,,259.589,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
127,Terephthaloyl Chloride,630.177,"Phenol Red, Free Acid",1000,,259.589,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
128,Sebacoyl Chloride,1000,"Biphenyl-2,2′-diol",449.337,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
129,Azelaoyl chloride,1000,"2,2′-Thiodiethanol",493.456,,209.983,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
130,Malonyl Chloride,782.186,Guaiacol glyceryl ether,1000,,262.315,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
131,Azelaoyl chloride,1000,Dianhydro-D-glucitol,590.015,,209.983,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
132,Azelaoyl chloride,1000,"4,4′-Sulfonylbis(2-methylphenol)",1123.98,,209.983,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
133,Malonyl Chloride,1268.88,"2,2′-Thiodiethanol",1000,,425.535,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
134,Azelaoyl chloride,583.049,"4,4'-Methylenebis(2,6-di-tert-butylphenol)",1000,,242.124,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,0
135,Azelaoyl chloride,922.754,"4,4′-Cyclohexylidenebisphenol",1000,,383.194,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,0
136,Suberoyl chloride,500,"2,2′-Thiodiethanol",263.115,,111.965,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
137,Suberoyl chloride,500,"cis-2-Butene-1,4-diol",189.729,,111.965,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
138,Malonyl Chloride,1061.23,Dianhydro-D-glucitol,1000,,355.894,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
139,Dimethylmalonyl chloride,1000,"2,2′-Thiodiethanol",657.25,,279.683,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
140,Dimethylcarbonate,1852.17,"1,4-dithiane-2,5-diol",1000,,,,,8.02694,DMAP,0,,,,,,,,,,,,,0
141,Dimethylcarbonate,1928.97,Dianhydro-D-glucitol,1000,,,,,8.35979,DMAP,0,,,,,,,,,,,,,0
142,Dimethylcarbonate,1513.88,"Biphenyl-2,2′-diol",1000,,,,,6.56087,DMAP,0,,,,,,,,,,,,,0
143,Dimethylcarbonate,2385.34,"2,5-hexanediol(+isomers)",1000,,,,,10.3376,DMAP,0,,,,,,,,,,,,,0
144,Dimethylcarbonate,3704.82,"1,2-propanediol",1000,,,,,16.056,DMAP,0,,,,,,,,,,,,,0
145,Dimethylcarbonate,3128.02,"2,3-Butanediol",1000,,,,,13.5562,DMAP,0,,,,,,,,,,,,,0
146,Dimethylcarbonate,1877.21,triethylene glycol,1000,,,,,8.13545,DMAP,0,,,,,,,,,,,,,0
147,Dimethylcarbonate,1466.32,Tripropylene glycol,1000,,,,,6.35475,DMAP,0,,,,,,,,,,,,,0
148,Dimethylcarbonate,2560.4,Resorcinol,1000,,,,,11.0963,DMAP,0,,,,,,,,,,,,,0
149,Dimethylcarbonate,4541.65,ethylene glycol,1000,,,,,19.6826,DMAP,0,,,,,,,,,,,,,0
150,Dimethylcarbonate,2385.55,"3-methyl-1,5-pentanediol",1000,,,,,10.3385,DMAP,0,,,,,,,,,,,,,0
151,Dimethylcarbonate,1929.1,"2,2,4-Trimethyl-1,3-pentanediol",1000,,,,,8.36036,DMAP,0,,,,,,,,,,,,,0
152,Dimethylcarbonate,827.5,"trans-p-menth-6-ene-2,8diol",470,,,,,3.5,DMAP,0,,,,,,,,,,,,,0
153,Dimethylcarbonate,1982.42,"2,5-dimethyl-3-hexyne-2,5-diol",1000,,,,,8.59142,DMAP,0,,,,,,,,,,,,,0
154,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,ethylene glycol,630.739,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
155,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"1,3-Propanediol",708.773,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
156,Adipic acid,1237.53,Dianhydro-D-glucitol,1237.19,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
157,succinic acid,1e+06,pinacol,1101,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
158,Adipic acid,1237.53,"cis-2-Butene-1,4-diol",783.432,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
159,Succinic acid,1e+06,"1,2-Propanediol",773.308,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
160,Malonic Acid,881.2,ethylene glycol,630.7,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
161,Malonic Acid,881.2,"1,9-nonanediol",1357,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
162,Malonic Acid,881.2,"1,10-decanediol",1475.82,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
163,Malonic Acid,881.2,"1,3-Propanediol",708.8,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
164,Malonic Acid,881.2,"1,4-Butanediol",801.9,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
165,Malonic Acid,881.2,"1,5-pentanediol",881.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
166,Malonic Acid,881.2,"1,6-Hexanediol",1.0007e+06,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
167,Malonic Acid,881.2,"2,5-hexanediol(+isomers)",1000.7,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
168,Malonic Acid,881.2,"3-methyl-1,5-pentanediol",1000.7,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
169,Malonic Acid,881.2,"1,7-heptanediol",1119.5,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
170,Malonic Acid,881.2,"1,8-octanediol",1238.3,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
171,[(Carboxymethyl)(methyl)amino]acetic acid,1000,"1,9-nonanediol",1204,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
172,"2,6-Naphthalenedicarboxylic Acid",1000,"1,10-decanediol",806,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
173,[(Carboxymethyl)(methyl)amino]acetic acid,739,Diethylene Glycol,589.188,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
174,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,Diethylene Glycol,595.711,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
175,Diglycolic acid,1000,Diethylene Glycol,791.409,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
176,Succinic acid,1000,Diethylene Glycol,898.637,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
177,pimelic acid,1000,Triethylene Glycol,1031.32,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
178,glutaric acid,1000,Triethylene Glycol,1250.28,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
179,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,Triethylene Glycol,927.288,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
180,Diglycolic acid,1000,Triethylene Glycol,1231.91,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
181,Isophthalic acid,2000,Triethylene Glycol,1988.65,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
182,Succinic acid,1000,Triethylene Glycol,1398.82,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
183,"2,6-Naphthalenedicarboxylic Acid",1000,Tripropylene glycol,889.256,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
184,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,"2-Methyl-1,3-propanediol",640,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
185,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,Tripropylene glycol,1133.17,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
186,Diglycolic acid,1000,Tripropylene glycol,1505.43,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
187,Isophthalic acid,2000,Tripropylene glycol,2430.18,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
188,Adipic acid,1000,Tripropylene glycol,1381.3,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
189,[(Carboxymethyl)(methyl)amino]acetic acid,1000,"2-Methyl-1,3-propanediol",1500,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
191,Isophthalic acid,2000,Dipropylene Glycol,1696,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
192,"2,6-Naphthalenedicarboxylic Acid",1000,"2-Methyl-1,3-propanediol",540,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
193,Succinic acid,1000,Dipropylene Glycol,1136.17,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
194,Isophthalic acid,2000,Guaiacol glyceryl ether,2386.32,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
195,sebacic acid,1000,"1,4-Dithiane-2,5-diol",790.368,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
196,"quinoline-2,4-dicarboxylic acid",1000,Diethylene Glycol,537.49,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
197,Adipic acid,1000,Dianhydro-D-glucitol,1050,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
198,Isophthalic acid,1000,"2-Methyl-1,3-propanediol",596.713,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
199,"2,6-Naphthalenedicarboxylic Acid",1000,"3-methyl-1,5-pentanediol",601.314,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
200,"2,6-Naphthalenedicarboxylic Acid",1000,"1,4-Cyclohexanediol",591.036,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
201,"2,6-Naphthalenedicarboxylic Acid",1000,"2,2-Diethyl-1,3-propanediol",672.649,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
202,glutaric acid,1000,"2,3-Butanediol",716.213,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
203,"2,5-Furandicarboxylic Acid",800,ethylene glycol,349.937,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
204,"2,5-Furandicarboxylic Acid",800,"2,3-Butanediol",508.076,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
205,"2,5-Furandicarboxylic Acid",800,"1,6-Hexanediol",635.933,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
206,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,"2,3-Butanediol",531.189,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
207,"2,6-Naphthalenedicarboxylic Acid",1000,"2,2-Dimethyl-1,3-propanediol",506,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
208,pimelic acid,1000,"2,3-Butanediol",603,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
209,"2,6-Naphthalenedicarboxylic Acid",1000,"2,3-Butanediol",437.704,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
210,Isophthalic acid,2000,"4,4′-Isopropylidenedicyclohexanol",2923.06,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
211,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,ethylene glycol,366,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
212,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,"1,2-Propanediol",449,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
213,[(Carboxymethyl)(methyl)amino]acetic acid,1000,"1,2-Propanediol",600,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
214,Lactide,631.374,Epsilon-Caprolactone,1000,,,,,9.14666,TBD,0,,,,18.9487,Benzyl Alcohol,6.5,,,,0,"THF, Anhydrous",0,0
215,e-Decalactone,506.004,Massoia Lactone,1000,,,,,78.5157,triphenyl bismuth,0,24.0742,tin octoate,0,,,,43.8059,Benzoic Acid,0,,,,0
216,e-caprolactone,339.238,Massoia Lactone,1000,,,,,78.5157,triphenyl bismuth,0,24.0742,tin octoate,0,,,,,,,,,,0
217,Undecanoic delta-lactone,547.703,massoia lactone,1000,,,,,78.5157,Triphenyl Bismuth,0,24.0742,tin octoate,0,,,,,,,,,,0
218,delta-Nonalactone,464.305,massoia lactone,1000,,,,,78.5157,Triphenyl Bismuth,0,24.0742,tin octoate,0,,,,,,,,,,0
219,pentadecanolide,714.439,massoia lactone,1000,,,,,78.5157,Triphenyl Bismuth,0,24.0742,tin octoate,0,,,,,,,,,,0
220,B-butyrolactone,255.87,massoia lactone,1000,,,,,78.5157,Triphenyl Bismuth,0,24.0742,tin octoate,0,,,,,,,,,,0
221,5-Dodecanolide,589.372,massoia lactone,1000,,,,,78.5157,Triphenyl Bismuth,0,24.0742,tin octoate,0,,,,,,,,,,0
222,16--hexadecanolide,756.137,massoia lactone,1000,,,,,78.5157,Triphenyl Bismuth,0,24.0742,tin octoate,0,,,,,,,,,,0
223,massoia lactone,456.452,Undecanoic delta-lactone,1000,,,,,71.6773,triphenyl bismuth,0,21.9774,tin octoate,0,,,,,,,,,,0
224,massoia lactone,538.439,Delta-nonalactone,1000,,,,,84.5519,triphenyl bismuth,0,25.925,tin octoate,0,,,,,,,,,,0
225,massoia lactone,977.059,B-butyrolactone,1000,,,,,153.429,triphenyl bismuth,0,47.0438,tin octoate,0,,,,,,,,,,0
226,massoia lactone,424.181,5-Dodecanolide,1000,,,,,66.6097,triphenyl bismuth,0,20.4236,tin octoate,0,,,,,,,,,,0
227,delta-Valerolactone,297.569,massoia lactone,1000,,,,,78.5157,triphenyl bismuth,0,24.0742,tin octoate,0,,,,,,,,,,0
228,Undecanoic delta-lactone,1000,,,,,,,3.77686,TBD,0,,,,11.7365,Benzyl Alcohol,0,27.1326,Benzoic Acid,0,0,"THF, Anhydrous",6.5,0
229,Undecanoic delta-lactone,1000,,,,,,,71.67,Triphenyl Bismuth,0,,,,,,,,,,,,,0
230,delta-Nonalactone,1000,,,,,,,4.45526,TBD,0,,,,13.8446,Benzyl Alcohol,0,32.0061,Benzoic Acid,0,0,"THF, Anhydrous",0,0
231,delta-Nonalactone,1000,,,,,,,84.55,Triphenyl Bismuth,0,,,,,,,,,,,,,0
232,Massoia Lactone,1000,,,,,,,78.51,Triphenyl Bismuth,0,,,,,,,,,,,,,0
233,e-Decalactone,590.613,lactide,1000,,,,,91.6443,triphenyl bismuth,0,28.0996,tin octoate,0,,,,,,,,,,0
234,Massoia Lactone,583.605,lactide,1000,,,,,91.6443,triphenyl bismuth,0,28.0996,tin octoate,0,,,,,,,,,,0
235,Lactide,1000,,,,,,,4.82897,TBD,0,,,,15.0059,Benzyl Alcohol,0,34.6909,Benzoic Acid,0,0,"THF, Anhydrous",0,0
236,lactide,493.123,coumarin,1000,,,,,90.3839,triphenyl bismuth,0,27.7132,tin octoate,0,,,,,,,,,,0
237,coumarin,434.346,Massoia Lactone,1000,,,,,78.5157,triphenyl bismuth,0,24.0742,tin octoate,0,,,,,,,,,,0
238,coumarin,396.516,Undecanoic delta-lactone,1000,,,,,71.6773,triphenyl bismuth,0,21.9774,tin octoate,0,,,,,,,,,,0
239,coumarin,467.738,Delta-nonalactone,1000,,,,,84.5519,triphenyl bismuth,0,25.925,tin octoate,0,,,,,,,,,,0
240,coumarin,368.482,5-Dodecanolide,1000,,,,,66.6097,triphenyl bismuth,0,20.4236,tin octoate,0,,,,,,,,,,0
241,Phthaloyl chloride,1126.64,Guaiacol glyceryl ether,1000,,262.32,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
242,lactide,837.09,B-butryolactone,1000,,,,,153.43,triphenyl bismuth,0,47.04,tin octoate,0,,,,,,,,,,0
190a,[(Carboxymethyl)(methyl)amino]acetic acid,1000,"2-Methyl-1,3-propanediol",673.771,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
190b,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000,Dipropylene Glycol,790.83,,,,,0,Ti(Opr)4,0,,,,,,,,,,,,,0
